"","Li51","Li52","Li54","Li55","Li62","Li63","Li64","Li65","Li11","Li12","Li13","Li14","Li15","Li21","Li22","Li23","Li24","Li25"
"ENSMUSG00000077377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101652",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000100814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025925",258,377,398,350,357,248,454,600,589,397,455,379,559,570,407,371,287,380
"ENSMUSG00000104379",3,0,2,1,3,2,2,2,4,8,3,4,11,0,2,0,4,5
"ENSMUSG00000032719",0,0,0,0,0,1,1,0,1,1,2,2,2,4,2,0,2,1
"ENSMUSG00000088943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100652",0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000067795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043716",8769,13340,13274,10935,10476,9122,13376,14747,13568,9274,10302,9396,11140,15646,11110,11432,6466,10958
"ENSMUSG00000025921",628,1191,549,1247,832,746,1126,1020,1273,1001,1098,970,1210,1387,964,939,603,983
"ENSMUSG00000104165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025920",67,79,202,85,162,52,252,299,306,188,217,210,291,265,160,194,166,240
"ENSMUSG00000089982",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025939",581,639,923,614,819,585,978,1098,965,751,942,683,1011,903,825,743,579,823
"ENSMUSG00000102457",0,0,0,0,1,0,1,0,0,1,2,0,2,1,0,1,1,0
"ENSMUSG00000079658",1817,1856,1971,1783,1980,1556,2727,2902,1699,1291,1460,1295,1463,1808,1336,1231,826,1472
"ENSMUSG00000097744",1,0,0,0,3,0,0,6,0,0,1,1,0,0,0,0,0,0
"ENSMUSG00000100959",0,0,1,1,0,0,1,3,1,2,3,1,3,3,2,2,1,1
"ENSMUSG00000025940",1125,904,1567,1050,1507,987,1801,2115,1852,1432,1718,1440,1618,1915,1454,1349,954,1462
"ENSMUSG00000025779",170,353,169,251,207,199,305,334,142,136,96,115,143,184,119,130,74,129
"ENSMUSG00000100093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091020",4,4,534,10,397,9,275,980,1,2,2,1,9,4,19,5,15,16
"ENSMUSG00000101640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042686",26,13,63,26,85,25,118,109,131,65,83,94,186,92,111,66,59,87
"ENSMUSG00000100110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100398",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000101589",1,1,9,2,4,2,5,3,7,2,2,2,7,5,5,3,4,1
"ENSMUSG00000102048",0,0,1,4,0,0,0,1,0,0,0,0,0,2,2,0,0,0
"ENSMUSG00000089534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067780",94,96,109,51,76,62,78,90,0,6,4,0,3,1,0,1,1,4
"ENSMUSG00000100053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085125",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025776",10,31,16,14,6,7,13,4,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000099895",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100554",3,1,2,1,0,1,1,1,0,1,2,0,0,0,0,0,1,0
"ENSMUSG00000099473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101685",0,1,0,3,1,0,1,0,0,0,1,0,0,3,0,0,0,0
"ENSMUSG00000101306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100720",1,1,0,0,0,1,1,2,1,1,0,1,0,2,2,1,0,0
